system_ts_ms, sensor_ts_ns, linX, linY, linZ
1680007950386,1187938738762181,0.343,0.16,0.312
1680007950388,1187938741264330,0.321,0.198,0.298
1680007950390,1187938743766483,0.285,0.222,0.257
1680007950394,1187938746268560,0.249,0.328,0.393
1680007950395,1187938748770791,0.239,0.192,0.278
1680007950397,1187938751272950,0.202,0.23,0.263
1680007950399,1187938753775027,0.262,0.214,0.195
1680007950401,1187938756277181,0.185,0.17,0.249
1680007950406,1187938758779335,0.216,0.262,0.249
1680007950408,1187938761281488,0.207,0.3,0.262
1680007950409,1187938763783719,0.198,0.23,0.262
1680007950415,1187938766285873,0.201,0.189,0.229
1680007950417,1187938768787930,0.219,0.268,0.242
1680007950418,1187938771290084,0.264,0.252,0.201
1680007950419,1187938773792238,0.173,0.263,0.241
1680007950423,1187938776294392,0.149,0.138,0.282
1680007950425,1187938778796622,0.29,0.258,0.24
1680007950428,1187938781298699,0.144,0.202,0.24
1680007950433,1187938783800853,0.215,0.282,0.13
1680007950434,1187938786303007,0.191,0.225,0.102
1680007950435,1187938788805161,0.141,0.25,0.198
1680007950438,1187938791307084,0.199,0.22,0.197
1680007950440,1187938793809238,0.284,0.286,0.17
1680007950442,1187938796311622,0.151,0.271,0.183
1680007950444,1187938798813776,0.291,0.378,0.21
1680007950447,1187938801315930,0.226,0.349,0.141
1680007950449,1187938803818046,0.189,0.347,0.127
1680007950451,1187938806320200,0.246,0.358,0.182
1680007950455,1187938808822354,0.331,0.329,0.236
1680007950457,1187938811324507,0.225,0.423,0.277
1680007950461,1187938813826685,0.269,0.367,0.208
1680007950462,1187938816328839,0.312,0.406,0.113
1680007950464,1187938818830993,0.355,0.447,0.286
1680007950467,1187938821332916,0.371,0.432,0.149
1680007950471,1187938823835070,0.333,0.403,0.366
1680007950472,1187938826337249,0.362,0.457,0.202
1680007950474,1187938828839633,0.392,0.523,0.324
1680007950477,1187938831341787,0.422,0.468,0.378
1680007950479,1187938833843710,0.425,0.439,0.295
1680007950481,1187938836345864,0.425,0.456,0.436
1680007950484,1187938838848037,0.441,0.55,0.475
1680007950487,1187938841350191,0.525,0.481,0.378
1680007950489,1187938843852576,0.501,0.562,0.431
1680007950491,1187938846354729,0.503,0.52,0.511
1680007950494,1187938848856633,0.41,0.533,0.496
1680007950499,1187938851358787,0.44,0.505,0.535
1680007950500,1187938853860941,0.455,0.481,0.536
1680007950502,1187938856363095,0.484,0.481,0.492
1680007950504,1187938858865153,0.446,0.507,0.544
1680007950507,1187938861367384,0.449,0.479,0.487
1680007950509,1187938863869538,0.412,0.479,0.566
1680007950512,1187938866371691,0.537,0.423,0.55
1680007950513,1187938868873849,0.527,0.504,0.533
1680007950518,1187938871376003,0.5,0.508,0.454
1680007950519,1187938873878157,0.49,0.426,0.627
1680007950521,1187938876380542,0.467,0.466,0.636
1680007950524,1187938878882451,0.498,0.451,0.646
1680007950527,1187938881384605,0.502,0.328,0.655
1680007950529,1187938883886758,0.425,0.286,0.691
1680007950532,1187938886388912,0.525,0.325,0.741
