system_ts_ms, sensor_ts_ns, linX, linY, linZ
1680001707641,1181695991264215,0.37,0.379,0.122
1680001707642,1181695993766619,0.439,0.351,-0.011
1680001707644,1181695996268773,0.344,0.323,0.071
1680001707647,1181695998770927,0.387,0.442,-0.005
1680001707647,1181696001273081,0.292,0.413,0.159
1680001707652,1181696003775244,0.388,0.372,0.011
1680001707652,1181696006277475,0.361,0.357,0.026
1680001707653,1181696008779552,0.402,0.37,0.068
1680001707657,1181696011281706,0.321,0.342,0.028
1680001707661,1181696013783860,0.307,0.327,0.029
1680001707663,1181696016286004,0.349,0.366,-0.006
1680001707665,1181696018788234,0.309,0.311,0.144
1680001707667,1181696021290388,0.295,0.31,0.186
1680001707672,1181696023792542,0.295,0.35,0.228
1680001707673,1181696026294696,0.282,0.377,0.134
1680001707674,1181696028796874,0.282,0.349,0.23
1680001707677,1181696031299028,0.268,0.308,0.122
1680001707680,1181696033801182,0.311,0.334,0.175
1680001707682,1181696036303566,0.27,0.252,0.176
1680001707684,1181696038805730,0.257,0.32,0.299
1680001707688,1181696041307884,0.243,0.333,0.342
1680001707694,1181696043810038,0.352,0.264,0.329
1680001707694,1181696046312192,0.243,0.441,0.358
1680001707695,1181696048814350,0.27,0.359,0.291
1680001707698,1181696051316581,0.286,0.331,0.339
1680001707701,1181696053818735,0.3,0.399,0.299
1680001707703,1181696056320812,0.3,0.398,0.342
1680001707705,1181696058823057,0.354,0.316,0.412
1680001707707,1181696061325211,0.368,0.342,0.251
1680001707709,1181696063827364,0.259,0.314,0.335
1680001707713,1181696066329518,0.314,0.409,0.269
1680001707714,1181696068831672,0.277,0.445,0.187
1680001707716,1181696071334096,0.345,0.362,0.134
1680001707719,1181696073836250,0.237,0.389,0.245
1680001707721,1181696076338173,0.319,0.388,0.166
1680001707724,1181696078840327,0.319,0.401,0.195
1680001707727,1181696081342466,0.374,0.291,0.007
1680001707729,1181696083844851,0.374,0.358,0.118
1680001707732,1181696086347005,0.362,0.409,0.001
1680001707735,1181696088849159,0.375,0.34,0.044
1680001707737,1181696091351327,0.362,0.298,0.06
1680001707740,1181696093853480,0.362,0.338,-0.06
1680001707742,1181696096355634,0.349,0.337,0.146
1680001707744,1181696098857865,0.376,0.309,0.162
1680001707746,1181696101360019,0.349,0.363,0.082
1680001707750,1181696103862169,0.379,0.441,0.071
1680001707753,1181696106364323,0.311,0.222,0.141
1680001707754,1181696108866476,0.366,0.276,0.143
1680001707756,1181696111368630,0.325,0.479,0.172
