system_ts_ms, sensor_ts_ns, rotX, rotY, rotZ, rotL
1680001707724,1181696078840327,0.635923,-0.037705,0.554167,0.535796
1680001707727,1181696081342466,0.63601,-0.037731,0.554048,0.535815
1680001707729,1181696083844851,0.636094,-0.037762,0.553928,0.535836
1680001707732,1181696086347005,0.636323,-0.037706,0.553666,0.53584
1680001707736,1181696088849159,0.636421,-0.037734,0.553532,0.53586
1680001707737,1181696091351327,0.636501,-0.037773,0.553411,0.535886
1680001707740,1181696093853480,0.636578,-0.037814,0.55329,0.535917
1680001707742,1181696096355634,0.63666,-0.03786,0.553161,0.53595
1680001707744,1181696098857865,0.636737,-0.037905,0.553034,0.535985
1680001707746,1181696101360019,0.636812,-0.037952,0.552906,0.536025
1680001707750,1181696103862169,0.636941,-0.037887,0.55268,0.53611
1680001707753,1181696106364323,0.637021,-0.037926,0.552538,0.536158
1680001707754,1181696108866476,0.63709,-0.037977,0.55241,0.536205
1680001707757,1181696111368630,0.63716,-0.038034,0.552276,0.536255
1680001707760,1181696113870779,0.63723,-0.038096,0.552137,0.53631
1680001707762,1181696116373164,0.637299,-0.03816,0.551997,0.536369
1680001707764,1181696118875318,0.637362,-0.038219,0.551861,0.53643
1680001707767,1181696121377472,0.637405,-0.038144,0.551665,0.536586
1680001707771,1181696123879606,0.637471,-0.03819,0.551513,0.53666
1680001707773,1181696126381760,0.637539,-0.03825,0.55137,0.536722
1680001707776,1181696128883914,0.637609,-0.038314,0.551222,0.536786
1680001707777,1181696131386145,0.637677,-0.038378,0.551075,0.536852
1680001707780,1181696133888217,0.637745,-0.038445,0.550925,0.53692
1680001707784,1181696136390371,0.637813,-0.038514,0.550772,0.536991
1680001707784,1181696138892601,0.637994,-0.038503,0.550505,0.537051
1680001707787,1181696141394678,0.638075,-0.038571,0.550334,0.537125
1680001707792,1181696143896827,0.638148,-0.038648,0.55017,0.5372
1680001707792,1181696146398981,0.638218,-0.03873,0.550005,0.537281
1680001707794,1181696148901212,0.638289,-0.038811,0.549839,0.537361
1680001707797,1181696151403366,0.63836,-0.038896,0.549671,0.537442
1680001707800,1181696153905520,0.638431,-0.038985,0.5495,0.537526
1680001707802,1181696156407658,0.638375,-0.039153,0.549448,0.537633
1680001707804,1181696158909812,0.638432,-0.039255,0.549289,0.537721
1680001707808,1181696161411966,0.638503,-0.039354,0.549115,0.537807
1680001707811,1181696163914351,0.638577,-0.039452,0.548938,0.537892
1680001707813,1181696166416477,0.638654,-0.039548,0.548759,0.537977
1680001707815,1181696168918630,0.638733,-0.039643,0.548581,0.538057
1680001707817,1181696171420784,0.638816,-0.039734,0.548398,0.538138
