system_ts_ms, sensor_ts_ns, rotX, rotY, rotZ, rotL
1679931077784,1111066137094780,0.379441,-0.125869,-0.471022,0.786332
1679931077787,1111066139596915,0.379387,-0.125912,-0.471024,0.78635
1679931077789,1111066142099069,0.379327,-0.125957,-0.471031,0.786368
1679931077791,1111066144601146,0.379263,-0.126008,-0.471039,0.786385
1679931077793,1111066147103299,0.379082,-0.125702,-0.471212,0.786418
1679931077795,1111066149605453,0.379003,-0.125717,-0.471243,0.786435
1679931077798,1111066152107616,0.378935,-0.125773,-0.471261,0.786448
1679931077800,1111066154609770,0.378858,-0.125837,-0.471283,0.786462
1679931077804,1111066157111924,0.378776,-0.125901,-0.471309,0.786476
1679931077806,1111066159613847,0.37869,-0.12597,-0.471337,0.786489
1679931077808,1111066162116011,0.378604,-0.126048,-0.471363,0.786502
1679931077810,1111066164618165,0.378504,-0.125919,-0.471483,0.7865
1679931077815,1111066167120319,0.37841,-0.125976,-0.471526,0.786509
1679931077817,1111066169622472,0.378317,-0.126061,-0.471564,0.786518
1679931077819,1111066172124621,0.378222,-0.126147,-0.471604,0.786526
1679931077821,1111066174626775,0.378121,-0.126235,-0.471647,0.786535
1679931077826,1111066177128852,0.378016,-0.126331,-0.471693,0.786542
1679931077827,1111066179631006,0.377912,-0.126426,-0.471742,0.786547
1679931077829,1111066182133256,0.377861,-0.126186,-0.471934,0.786495
1679931077831,1111066184635409,0.377757,-0.126257,-0.472004,0.786492
1679931077834,1111066187137486,0.377645,-0.126361,-0.472066,0.786492
1679931077836,1111066189639640,0.377535,-0.126468,-0.472129,0.786489
1679931077838,1111066192141794,0.377425,-0.12658,-0.472193,0.786486
1679931077840,1111066194643712,0.377311,-0.126692,-0.472264,0.78648
1679931077843,1111066197145866,0.3772,-0.126805,-0.472336,0.786472
1679931077846,1111066199648251,0.377138,-0.12651,-0.472576,0.786405
1679931077849,1111066202150405,0.377037,-0.126592,-0.472672,0.786382
1679931077851,1111066204652343,0.376932,-0.126716,-0.472758,0.786361
1679931077855,1111066207154496,0.376828,-0.126848,-0.472842,0.786339
1679931077857,1111066209656650,0.376726,-0.126983,-0.472923,0.786317
1679931077859,1111066212158804,0.376626,-0.12712,-0.473006,0.786293
