system_ts_ms, sensor_ts_ns, graX, graY, graZ
1679997304941,1177293296253112,4.505,5.544,6.717
1679997304944,1177293298755343,4.505,5.544,6.717
1679997304947,1177293301257174,4.506,5.544,6.717
1679997304949,1177293303759251,4.506,5.544,6.716
1679997304951,1177293306261405,4.508,5.546,6.713
1679997304953,1177293308763328,4.509,5.546,6.713
1679997304956,1177293311265174,4.51,5.546,6.712
1679997304958,1177293313767275,4.511,5.546,6.712
1679997304961,1177293316269506,4.512,5.546,6.712
1679997304964,1177293318771583,4.512,5.545,6.711
1679997304967,1177293321273429,4.513,5.545,6.711
1679997304969,1177293323775588,4.512,5.544,6.712
1679997304973,1177293326277511,4.513,5.544,6.712
1679997304976,1177293328779588,4.514,5.544,6.712
1679997304977,1177293331281511,4.515,5.544,6.711
1679997304979,1177293333783650,4.516,5.543,6.71
1679997304982,1177293336285727,4.517,5.543,6.71
1679997304984,1177293338787650,4.518,5.543,6.709
1679997304987,1177293341289727,4.522,5.543,6.707
1679997304989,1177293343791655,4.524,5.542,6.706
1679997304991,1177293346293732,4.525,5.542,6.706
1679997304994,1177293348795655,4.526,5.542,6.705
1679997304996,1177293351297809,4.527,5.541,6.705
1679997304999,1177293353799886,4.528,5.541,6.704
1679997305001,1177293356301814,4.529,5.54,6.704
1679997305004,1177293358803891,4.529,5.541,6.703
1679997305006,1177293361305814,4.529,5.541,6.703
1679997305010,1177293363807891,4.53,5.541,6.703
1679997305012,1177293366310031,4.531,5.54,6.703
1679997305013,1177293368811954,4.531,5.54,6.703
1679997305016,1177293371314031,4.532,5.54,6.703
1679997305019,1177293373815954,4.533,5.539,6.703
1679997305021,1177293376318031,4.534,5.537,6.703
1679997305024,1177293378819954,4.535,5.537,6.703
1679997305028,1177293381322108,4.535,5.536,6.703
1679997305029,1177293383824184,4.536,5.536,6.703
1679997305031,1177293386326108,4.536,5.536,6.703
1679997305034,1177293388828194,4.536,5.535,6.704
1679997305036,1177293391330117,4.536,5.535,6.704
1679997305039,1177293393832194,4.538,5.534,6.703
1679997305041,1177293396334117,4.538,5.534,6.703
1679997305044,1177293398836275,4.538,5.534,6.703
1679997305048,1177293401338352,4.538,5.534,6.703
1679997305050,1177293403840275,4.538,5.534,6.703
1679997305051,1177293406342352,4.538,5.534,6.703
1679997305053,1177293408844275,4.538,5.534,6.703
1679997305056,1177293411346357,4.54,5.53,6.705
1679997305059,1177293413848511,4.541,5.53,6.705
1679997305061,1177293416350434,4.541,5.53,6.705
1679997305064,1177293418852511,4.541,5.53,6.704
1679997305067,1177293421354448,4.541,5.53,6.704
1679997305069,1177293423856525,4.541,5.531,6.704
1679997305071,1177293426358448,4.541,5.531,6.703
1679997305074,1177293428860525,4.546,5.528,6.703
1679997305076,1177293431362694,4.546,5.528,6.703
1679997305079,1177293433864848,4.546,5.529,6.702
1679997305081,1177293436366694,4.546,5.529,6.702
1679997305085,1177293438868612,4.546,5.53,6.701
1679997305088,1177293441370689,4.546,5.53,6.701
1679997305089,1177293443872843,4.546,5.531,6.7
1679997305091,1177293446374689,4.549,5.529,6.7
1679997305093,1177293448876920,4.549,5.53,6.699
1679997305096,1177293451378968,4.549,5.53,6.699
1679997305098,1177293453880814,4.549,5.531,6.699
1679997305101,1177293456382737,4.549,5.532,6.698
1679997305104,1177293458884891,4.548,5.532,6.698
1679997305107,1177293461386973,4.548,5.533,6.698
1679997305109,1177293463888896,4.55,5.534,6.696
1679997305111,1177293466390973,4.549,5.534,6.695
1679997305114,1177293468892896,4.549,5.535,6.695
1679997305116,1177293471394973,4.549,5.535,6.695
1679997305119,1177293473896905,4.548,5.536,6.695
1679997305123,1177293476399290,4.548,5.537,6.695
1679997305126,1177293478901136,4.547,5.537,6.694
1679997305128,1177293481403059,4.549,5.538,6.693
1679997305130,1177293483905117,4.549,5.538,6.693
1679997305132,1177293486407271,4.548,5.539,6.692
1679997305134,1177293488909117,4.548,5.539,6.692
1679997305136,1177293491411271,4.547,5.54,6.692
1679997305139,1177293493913425,4.547,5.54,6.692
1679997305141,1177293496415338,4.547,5.541,6.692
1679997305144,1177293498917184,4.549,5.542,6.689
1679997305148,1177293501419338,4.549,5.543,6.689
1679997305149,1177293503921415,4.549,5.543,6.688
1679997305151,1177293506423281,4.549,5.544,6.688
1679997305154,1177293508925435,4.549,5.544,6.688
1679997305156,1177293511427588,4.549,5.544,6.688
1679997305160,1177293513929511,4.549,5.545,6.687
1679997305162,1177293516431348,4.546,5.546,6.688
1679997305165,1177293518933502,4.546,5.546,6.688
1679997305167,1177293521435578,4.546,5.546,6.687
1679997305169,1177293523937732,4.546,5.547,6.687
1679997305171,1177293526439578,4.547,5.547,6.687
1679997305174,1177293528941742,4.547,5.547,6.687
1679997305176,1177293531443665,4.547,5.547,6.686
1679997305179,1177293533945742,4.546,5.547,6.687
1679997305181,1177293536447665,4.546,5.547,6.687
1679997305184,1177293538949766,4.546,5.548,6.687
1679997305188,1177293541451920,4.546,5.548,6.687
1679997305189,1177293543953843,4.546,5.548,6.686
1679997305192,1177293546455920,4.546,5.548,6.686
1679997305194,1177293548957842,4.546,5.549,6.686
1679997305198,1177293551459919,4.548,5.548,6.685
1679997305200,1177293553961842,4.549,5.548,6.684
1679997305202,1177293556463919,4.549,5.549,6.684
1679997305204,1177293558966078,4.548,5.549,6.684
1679997305207,1177293561468001,4.548,5.549,6.684
1679997305208,1177293563970078,4.548,5.55,6.684
1679997305211,1177293566472001,4.548,5.55,6.684
1679997305216,1177293568974078,4.547,5.554,6.681
1679997305217,1177293571476001,4.547,5.554,6.68
1679997305218,1177293573978155,4.547,5.555,6.68
1679997305221,1177293576480232,4.546,5.556,6.68
1679997305225,1177293578982150,4.546,5.556,6.68
1679997305228,1177293581484227,4.545,5.557,6.68
1679997305229,1177293583986150,4.544,5.557,6.68
1679997305235,1177293586488213,4.542,5.559,6.68
1679997305236,1177293588990136,4.541,5.56,6.68
1679997305240,1177293591492290,4.54,5.56,6.68
1679997305241,1177293593994367,4.54,5.561,6.68
1679997305242,1177293596496290,4.54,5.562,6.679
1679997305244,1177293598998367,4.539,5.562,6.679
1679997305247,1177293601500266,4.539,5.563,6.679
1679997305249,1177293604002343,4.537,5.565,6.679
1679997305251,1177293606504266,4.537,5.565,6.678
1679997305255,1177293609006420,4.537,5.566,6.678
1679997305257,1177293611508599,4.537,5.566,6.677
1679997305259,1177293614010445,4.537,5.567,6.677
1679997305262,1177293616512522,4.537,5.567,6.676
1679997305265,1177293619014445,4.538,5.567,6.676
1679997305268,1177293621516536,4.538,5.569,6.675
1679997305269,1177293624018690,4.539,5.569,6.674
1679997305273,1177293626520613,4.539,5.569,6.673
1679997305276,1177293629022767,4.54,5.569,6.673
1679997305278,1177293631524608,4.541,5.569,6.672
1679997305279,1177293634026685,4.541,5.57,6.672
1679997305281,1177293636528838,4.542,5.57,6.671
1679997305285,1177293639030762,4.543,5.568,6.672
