system_ts_ms, sensor_ts_ns, linX, linY, linZ
1679997305420,1177293774140213,0.089,0.233,0.229
1679997305424,1177293776642137,0.129,0.274,0.23
1679997305433,1177293779144193,0.039,0.259,0.309
1679997305433,1177293781645154,0.148,0.272,0.214
1679997305434,1177293784146117,0.148,0.272,0.214
1679997305434,1177293786650347,0.161,0.299,0.242
1679997305435,1177293789152270,0.134,0.177,0.174
1679997305438,1177293791654347,0.134,0.204,0.065
1679997305440,1177293794156270,0.256,0.231,0.255
1679997305442,1177293796658352,0.202,0.324,0.217
1679997305446,1177293799160275,0.174,0.242,0.149
1679997305449,1177293801662429,0.242,0.255,0.095
1679997305450,1177293804164506,0.215,0.187,0.245
1679997305452,1177293806666429,0.215,0.269,0.191
1679997305456,1177293809168506,0.229,0.296,0.123
1679997305457,1177293811670429,0.16,0.2,0.136
1679997305463,1177293814172506,0.148,0.253,0.246
1679997305465,1177293816674679,0.216,0.226,0.151
1679997305466,1177293819176602,0.148,0.239,0.137
1679997305468,1177293821678756,0.189,0.103,0.178
1679997305470,1177293824180602,0.121,0.17,0.151
1679997305471,1177293826682679,0.121,0.143,0.219
1679997305476,1177293829184838,0.081,0.17,0.111
1679997305477,1177293831686761,0.108,0.141,0.098
1679997305479,1177293834188838,0.19,0.141,0.112
1679997305482,1177293836690761,0.067,0.181,0.194
1679997305485,1177293839192857,0.109,0.18,0.154
1679997305487,1177293841694780,0.163,0.166,0.086
1679997305489,1177293844196934,0.055,0.152,0.072
1679997305492,1177293846699011,0.11,0.056,0.154
1679997305495,1177293849200939,0.097,0.15,0.142
1679997305499,1177293851703016,0.056,0.271,0.033
1679997305500,1177293854204939,0.057,0.243,0.156
1679997305503,1177293856707016,0.084,0.229,-0.006
1679997305506,1177293859208958,0.071,0.255,0.021
1679997305507,1177293861711112,0.03,0.227,0.021
1679997305509,1177293864213266,0.072,0.212,0.172
1679997305511,1177293866715112,0.033,0.117,0.198
1679997305516,1177293869217180,0.034,0.157,0.13
1679997305517,1177293871719334,0.033,0.142,0.199
1679997305519,1177293874221257,0.033,0.155,0.214
1679997305521,1177293876723334,0.033,0.127,0.255
1679997305525,1177293879225487,0.06,0.153,0.256
1679997305527,1177293881727396,0.086,0.207,0.189
1679997305529,1177293884229242,0.113,0.139,0.217
1679997305532,1177293886731319,0.112,0.193,0.109
1679997305537,1177293889233472,0.261,0.192,0.26
1679997305538,1177293891735406,0.178,0.246,0.207
1679997305540,1177293894237482,0.259,0.218,0.222
1679997305542,1177293896739636,0.271,0.094,0.169
1679997305550,1177293899241554,0.351,0.107,0.116
1679997305550,1177293901743631,0.279,0.203,0.215
1679997305550,1177293904245554,0.277,0.175,0.121
1679997305552,1177293906747631,0.248,0.188,0.273
1679997305555,1177293909249554,0.369,0.173,0.26
1679997305557,1177293911751708,0.3,0.2,0.276
1679997305560,1177293914253766,0.244,0.104,0.372
1679997305562,1177293916755689,0.27,0.253,0.374
1679997305568,1177293919257766,0.305,0.146,0.24
1679997305568,1177293921759689,0.235,0.146,0.432
1679997305569,1177293924261766,0.248,0.145,0.242
1679997305573,1177293926763919,0.26,0.131,0.285
1679997305576,1177293929265842,0.218,0.131,0.354
1679997305578,1177293931767919,0.313,0.144,0.232
1679997305582,1177293934269876,0.285,0.102,0.288
1679997305582,1177293936771953,0.242,0.12,0.368
1679997305586,1177293939273876,0.173,0.161,0.409
1679997305588,1177293941775953,0.323,0.187,0.287
1679997305590,1177293944278107,0.159,0.173,0.411
1679997305592,1177293946780030,0.227,0.254,0.425
1679997305596,1177293949282107,0.281,0.199,0.249
