system_ts_ms, sensor_ts_ns, accX, accY, accZ
1679997305041,1177293396334117,4.8,5.6410503,6.94005
1679997305043,1177293398836270,4.7899504,5.61705,6.97905
1679997305047,1177293401338352,4.86705,5.703,6.9
1679997305049,1177293403840275,4.788,5.6340003,6.9760504
1679997305051,1177293406342352,4.76595,5.5260005,6.8970003
1679997305053,1177293408844275,4.69395,5.55,6.945
1679997305056,1177293411346357,4.73505,5.5669503,6.9640503
1679997305058,1177293413848511,4.84095,5.6719503,6.9600005
1679997305061,1177293416350434,4.7779503,5.6650505,7.00995
1679997305063,1177293418852511,4.70895,5.5909505,7.0189505
1679997305067,1177293421354448,4.7590504,5.7010503,7.017
1679997305069,1177293423856525,4.7689505,5.71995,7.05495
1679997305071,1177293426358448,4.7640004,5.7130504,6.9259505
1679997305073,1177293428860525,4.833,5.63595,6.9330006
1679997305076,1177293431362694,4.821,5.6509504,7.1250005
1679997305078,1177293433864848,4.7730002,5.682,6.9910502
1679997305081,1177293436366694,4.69005,5.6599503,7.0270505
1679997305085,1177293438868612,4.8190503,5.7130504,7.089
1679997305087,1177293441370689,4.848,5.703,6.95205
1679997305089,1177293443872843,4.7970004,5.63205,7.0530005
1679997305091,1177293446374689,4.8240004,5.703,6.972
1679997305093,1177293448876920,4.8450003,5.64795,6.8950505
1679997305096,1177293451378968,4.78305,5.7229505,7.01205
1679997305098,1177293453880814,4.71105,5.68695,7.0360503
1679997305101,1177293456382737,4.776,5.6940002,6.9949503
1679997305103,1177293458884891,4.7689505,5.66295,6.9930005
1679997305107,1177293461386973,4.761,5.6719503,6.8539505
1679997305108,1177293463888896,4.809,5.78205,6.9480004
1679997305111,1177293466390973,4.78095,5.727,7.00995
1679997305113,1177293468892896,4.7260504,5.6599503,6.9550505
1679997305116,1177293471394973,4.78095,5.74905,6.8419504
1679997305118,1177293473896905,4.80495,5.7390003,6.9019504
1679997305122,1177293476399290,4.71105,5.7660003,6.9810004
1679997305125,1177293478901136,4.81395,5.74695,7.0630503
1679997305127,1177293481403059,4.809,5.7900004,6.9690003
1679997305129,1177293483905117,4.7059503,5.85405,6.9859505
1679997305131,1177293486407271,4.7400002,5.79195,7.05495
1679997305133,1177293488909117,4.75395,5.8710003,7.0360503
1679997305136,1177293491411271,4.7569504,5.7660003,6.984
1679997305138,1177293493913425,4.7470503,5.87295,7.0030503
1679997305141,1177293496415338,4.668,5.85195,7.0219502
1679997305143,1177293498917184,4.7970004,5.79195,6.8830504
1679997305147,1177293501419338,4.69395,5.8690505,6.885
1679997305148,1177293503921415,4.7260504,5.80905,6.9910502
1679997305150,1177293506423281,4.788,5.79195,7.017
1679997305153,1177293508925435,4.7640004,5.8230004,7.0789504
1679997305156,1177293511427588,4.7970004,5.787,7.0579505
1679997305159,1177293513929511,4.7059503,5.7630005,7.0650005
1679997305161,1177293516431348,4.65105,5.7780004,6.9619503
1679997305164,1177293518933502,4.72305,5.703,6.94005
1679997305167,1177293521435578,4.7590504,5.68695,6.9330006
1679997305168,1177293523937732,4.7689505,5.7300005,7.0789504
1679997305171,1177293526439578,4.82595,5.8180504,7.005
1679997305173,1177293528941742,4.7470503,5.7180004,7.0459504
1679997305176,1177293531443665,4.71105,5.7109504,6.9259505
1679997305178,1177293533945742,4.6660504,5.7250504,6.94005
