system_ts_ms, sensor_ts_ns, graX, graY, graZ
1679994866459,1174854811789284,0.659,3.906,8.97
1679994866462,1174854814291375,0.662,3.904,8.971
1679994866464,1174854816793221,0.662,3.903,8.971
1679994866467,1174854819295144,0.661,3.902,8.972
1679994866468,1174854821797298,0.661,3.901,8.972
1679994866470,1174854824299144,0.661,3.9,8.973
1679994866472,1174854826801235,0.66,3.899,8.973
1679994866475,1174854829303158,0.66,3.898,8.974
1679994866477,1174854831805005,0.662,3.895,8.975
1679994866481,1174854834307081,0.662,3.894,8.975
1679994866482,1174854836808996,0.662,3.893,8.976
1679994866485,1174854839311149,0.662,3.892,8.976
1679994866489,1174854841812996,0.662,3.891,8.977
1679994866489,1174854844315072,0.661,3.89,8.977
1679994866492,1174854846816996,0.661,3.889,8.977
1679994866495,1174854849319058,0.66,3.887,8.979
1679994866501,1174854851820904,0.66,3.886,8.979
1679994866502,1174854854322827,0.66,3.885,8.979
1679994866503,1174854856824981,0.66,3.884,8.98
1679994866507,1174854859326832,0.66,3.884,8.98
1679994866508,1174854861828909,0.66,3.883,8.98
1679994866510,1174854864330755,0.66,3.882,8.981
1679994866512,1174854866832678,0.664,3.881,8.981
1679994866514,1174854869334755,0.664,3.88,8.981
1679994866517,1174854871836636,0.664,3.88,8.981
1679994866519,1174854874338713,0.664,3.879,8.982
1679994866522,1174854876840636,0.664,3.878,8.982
1679994866526,1174854879342713,0.664,3.878,8.982
1679994866528,1174854881844554,0.664,3.877,8.982
1679994866529,1174854884346477,0.666,3.879,8.981
1679994866532,1174854886848554,0.667,3.879,8.982
1679994866536,1174854889350400,0.667,3.878,8.982
1679994866539,1174854891852554,0.667,3.878,8.982
1679994866541,1174854894354477,0.667,3.877,8.982
1679994866543,1174854896856554,0.667,3.877,8.982
1679994866545,1174854899358400,0.667,3.876,8.983
1679994866548,1174854901860323,0.669,3.877,8.982
1679994866549,1174854904362400,0.669,3.876,8.982
1679994866553,1174854906864323,0.67,3.876,8.982
1679994866555,1174854909366400,0.67,3.876,8.983
1679994866559,1174854911868328,0.67,3.875,8.983
1679994866560,1174854914370405,0.67,3.875,8.983
1679994866562,1174854916872251,0.67,3.875,8.983
1679994866565,1174854919374175,0.672,3.876,8.982
1679994866567,1174854921876251,0.672,3.875,8.983
1679994866569,1174854924378107,0.672,3.875,8.983
1679994866576,1174854926880260,0.672,3.875,8.983
1679994866577,1174854929382107,0.672,3.875,8.983
1679994866578,1174854931884030,0.672,3.874,8.983
